Order Date,Ship Mode,Segment,Country,City,State,Region,Category,Sub-Category,Sales,Quantity,Profit
2014-03-11,Standard Class,Consumer,United States,Nashville,Tennessee,South,Office Supplies,Paper,143.856,9,48.5514
2014-03-11,Standard Class,Consumer,United States,Jacksonville,North Carolina,South,Office Supplies,Storage,25.984,2,-1.624
2014-03-11,Standard Class,Consumer,United States,Jacksonville,North Carolina,South,Furniture,Tables,945.036,6,-299.2614
2014-03-11,Standard Class,Consumer,United States,Jacksonville,North Carolina,South,Office Supplies,Binders,14.301,7,-10.4874
2014-03-11,Standard Class,Consumer,United States,Jacksonville,North Carolina,South,Furniture,Furnishings,410.352,3,-51.294
2014-03-11,Second Class,Corporate,United States,Orange,New Jersey,East,Office Supplies,Binders,5.76,2,2.8224
2014-03-11,Standard Class,Corporate,United States,Omaha,Nebraska,Central,Technology,Accessories,89.97,3,18.8937
2014-03-11,Same Day,Home Office,United States,Los Angeles,California,West,Office Supplies,Art,6.72,4,3.36
2014-03-12,Standard Class,Consumer,United States,Oklahoma City,Oklahoma,Central,Technology,Phones,479.96,4,134.3888
2014-03-12,Second Class,Corporate,United States,Saint Louis,Missouri,Central,Office Supplies,Paper,25.92,4,12.4416
2014-04-01,Standard Class,Home Office,United States,Naperville,Illinois,Central,Office Supplies,Labels,11.784,3,4.2717
2014-04-01,Standard Class,Home Office,United States,Naperville,Illinois,Central,Office Supplies,Storage,272.736,3,-64.7748
2014-04-01,Standard Class,Home Office,United States,Naperville,Illinois,Central,Office Supplies,Binders,3.54,2,-5.487
2014-04-02,Standard Class,Home Office,United States,San Diego,California,West,Office Supplies,Binders,82.896,3,29.0136
2014-04-02,Standard Class,Home Office,United States,San Diego,California,West,Office Supplies,Paper,34.24,4,16.0928
2014-04-02,Second Class,Corporate,United States,Escondido,California,West,Office Supplies,Binders,17.248,2,6.0368
2014-04-03,Same Day,Consumer,United States,Columbia,South Carolina,South,Office Supplies,Storage,354.9,5,17.745
2014-04-03,Standard Class,Consumer,United States,Margate,Florida,South,Office Supplies,Art,15.552,3,2.3328
2014-04-04,Standard Class,Home Office,United States,San Francisco,California,West,Office Supplies,Labels,18.9,6,9.072
2014-04-04,Standard Class,Consumer,United States,Detroit,Michigan,Central,Furniture,Furnishings,5.47,1,2.3521
2014-04-04,Standard Class,Consumer,United States,Detroit,Michigan,Central,Office Supplies,Art,79.36,4,23.808
2014-04-04,First Class,Corporate,United States,Los Angeles,California,West,Office Supplies,Binders,7.184,2,2.245
2014-04-04,Standard Class,Corporate,United States,Lafayette,Louisiana,South,Office Supplies,Storage,232.55,5,9.302
2014-04-04,Standard Class,Corporate,United States,Lafayette,Louisiana,South,Technology,Accessories,99.98,2,42.9914
2014-04-04,Standard Class,Corporate,United States,Lafayette,Louisiana,South,Office Supplies,Paper,19.44,3,9.3312
2014-04-04,Standard Class,Corporate,United States,Lafayette,Louisiana,South,Office Supplies,Paper,12.96,2,6.3504
2014-04-05,Standard Class,Consumer,United States,Jackson,Michigan,Central,Office Supplies,Binders,46.8,4,21.06
2014-04-05,Same Day,Consumer,United States,Middletown,Connecticut,East,Furniture,Furnishings,27.46,2,9.8856
2014-04-05,First Class,Consumer,United States,Houston,Texas,Central,Office Supplies,Art,37.84,2,2.838
2014-04-05,First Class,Consumer,United States,Houston,Texas,Central,Office Supplies,Fasteners,5.472,6,1.8468
2014-04-05,First Class,Corporate,United States,Seattle,Washington,West,Furniture,Furnishings,12.18,7,3.8976
2014-04-05,First Class,Corporate,United States,Seattle,Washington,West,Office Supplies,Appliances,57.68,4,19.0344
2014-04-06,Standard Class,Home Office,United States,Columbus,Ohio,East,Office Supplies,Paper,16.224,2,5.8812
2014-04-06,Standard Class,Consumer,United States,New York City,New York,East,Furniture,Furnishings,56.96,2,21.0752
2014-04-06,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Appliances,15.56,4,4.0456
2014-04-06,Standard Class,Consumer,United States,New York City,New York,East,Furniture,Bookcases,353.568,2,-44.196
2014-04-06,Standard Class,Consumer,United States,New York City,New York,East,Furniture,Furnishings,13.96,2,6.7008
2014-04-07,First Class,Corporate,United States,Aurora,Colorado,West,Office Supplies,Paper,177.536,4,62.1376
2014-04-07,First Class,Corporate,United States,Aurora,Colorado,West,Office Supplies,Appliances,32.432,2,3.2432
2014-04-07,Standard Class,Consumer,United States,Richmond,Virginia,South,Office Supplies,Paper,21.84,3,10.92
2014-04-07,Standard Class,Consumer,United States,Richmond,Virginia,South,Office Supplies,Binders,15.6,5,7.644
2014-04-08,Second Class,Consumer,United States,Pleasant Grove,Utah,West,Office Supplies,Appliances,1089.75,3,305.13
2014-04-08,Second Class,Consumer,United States,Pleasant Grove,Utah,West,Office Supplies,Paper,447.84,8,219.4416
2014-04-08,Second Class,Consumer,United States,Pleasant Grove,Utah,West,Office Supplies,Art,16.4,5,4.264
2014-04-08,Second Class,Consumer,United States,Pleasant Grove,Utah,West,Technology,Phones,399.96,5,34.9965
2014-04-08,Second Class,Consumer,United States,Pleasant Grove,Utah,West,Office Supplies,Storage,158.9,5,7.945
2014-04-08,Second Class,Consumer,United States,Pleasant Grove,Utah,West,Office Supplies,Binders,13.184,1,4.7792
2014-04-08,Standard Class,Corporate,United States,Bangor,Maine,East,Office Supplies,Appliances,101.96,2,27.5292
2014-04-08,Standard Class,Corporate,United States,Bangor,Maine,East,Office Supplies,Paper,259.74,13,124.6752
2014-04-08,Standard Class,Corporate,United States,Bangor,Maine,East,Technology,Accessories,255.42,9,104.7222
2014-04-10,Standard Class,Consumer,United States,Vallejo,California,West,Office Supplies,Labels,14.45,5,6.7915
2014-04-10,Standard Class,Consumer,United States,Vallejo,California,West,Office Supplies,Binders,95.648,2,31.0856
2014-04-10,Standard Class,Consumer,United States,Seattle,Washington,West,Office Supplies,Labels,29.24,4,13.7428
2014-04-10,First Class,Consumer,United States,New York City,New York,East,Furniture,Chairs,589.41,5,-6.549
2014-04-11,Standard Class,Home Office,United States,New York City,New York,East,Furniture,Chairs,135.882,1,24.1568
2014-04-11,Standard Class,Home Office,United States,New York City,New York,East,Technology,Machines,3991.98,2,1995.99
2014-04-11,Standard Class,Home Office,United States,New York City,New York,East,Technology,Phones,275.94,6,80.0226
2014-04-11,Standard Class,Home Office,United States,New York City,New York,East,Technology,Accessories,360,4,129.6
2014-04-11,Standard Class,Home Office,United States,New York City,New York,East,Office Supplies,Storage,43.57,1,13.071
2014-04-11,Second Class,Corporate,United States,Cary,North Carolina,South,Office Supplies,Fasteners,8.376,3,2.7222
2014-04-11,Second Class,Corporate,United States,Cary,North Carolina,South,Office Supplies,Appliances,58.24,5,5.096
2014-04-11,Standard Class,Consumer,United States,San Diego,California,West,Furniture,Furnishings,35.34,2,13.4292
2014-04-11,Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Phones,666.344,7,66.6344
2014-04-11,Standard Class,Consumer,United States,Los Angeles,California,West,Furniture,Tables,573.728,4,-64.5444
2014-04-11,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,21.936,3,8.226
2014-04-11,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,19.44,3,9.3312
2014-04-11,Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Machines,447.968,4,139.99
2014-04-11,Standard Class,Home Office,United States,New York City,New York,East,Office Supplies,Binders,52.064,4,18.8732
2014-04-11,Standard Class,Corporate,United States,Long Beach,California,West,Office Supplies,Art,2.94,1,0.7938
